i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
1432,21544580000000,21544580028445,21544582030295,2030.295,2000.432,0
1433,21544590000000,21544590060087,21544592080473,2080.473,2000.408,0
1434,21544600000000,21544600042591,21544602230414,2230.414,2000.328,0
1435,21544610000000,21544610059672,21544612095587,2095.587,2000.352,0
1436,21544620000000,21544620024392,21544622025738,2025.738,2000.520,0
1437,21544630000000,21544630061826,21544632063484,2063.484,2000.288,0
1438,21544640000000,21544640034986,21544642036676,2036.676,2000.416,0
1439,21544650000000,21544650040706,21544652042348,2042.348,2000.464,0
1440,21544660000000,21544660056788,21544662057989,2057.989,2000.512,0
1441,21544670000000,21544670062788,21544672064430,2064.430,2000.528,0
1442,21544680000000,21544680059397,21544682060639,2060.639,2000.376,0
1443,21544690000000,21544690059374,21544692061120,2061.120,2000.784,0
1444,21544700000000,21544700030701,21544702031983,2031.983,2000.536,0
1445,21544710000000,21544710057919,21544712059569,2059.569,2000.744,0
1446,21544720000000,21544720061407,21544722062801,2062.801,2000.608,0
1447,21544730000000,21544730059456,21544732060938,2060.938,2000.496,0
1448,21544740000000,21544740064017,21544742065827,2065.827,2000.432,0
1449,21544750000000,21544750094003,21544752095620,2095.620,2000.344,0
1450,21544760000000,21544760017641,21544762018955,2018.955,2000.424,0
1451,21544770000000,21544770061083,21544772062701,2062.701,2000.472,0
1452,21544780000000,21544780060611,21544782062077,2062.077,2000.520,0
1453,21544790000000,21544790063924,21544792064942,2064.942,2000.320,0
1454,21544800000000,21544800025932,21544802027646,2027.646,2000.312,0
1455,21544810000000,21544810060358,21544812061831,2061.831,2000.488,0
1456,21544820000000,21544820061807,21544822063336,2063.336,2000.512,0
1457,21544830000000,21544830060175,21544832077017,2077.017,2000.312,0
1458,21544840000000,21544840026679,21544842028384,2028.384,2000.360,0
1459,21544850000000,21544850034431,21544852036473,2036.473,2000.768,0
1460,21544860000000,21544860057808,21544862059074,2059.074,2000.496,0
1461,21544870000000,21544870058553,21544872071867,2071.867,2000.304,0
1462,21544880000000,21544880022057,21544882023635,2023.635,2000.520,0
1463,21544890000000,21544890061011,21544892283690,2283.690,2000.424,0
1464,21544900000000,21544900036667,21544902038372,2038.372,2000.480,0
1465,21544910000000,21544910058116,21544912059422,2059.422,2000.456,0
1466,21544920000000,21544920012219,21544922013317,2013.317,2000.368,0
1467,21544930000000,21544930058757,21544932060503,2060.503,2000.528,0
1468,21544940000000,21544940061150,21544942062840,2062.840,2000.328,0
1469,21544950000000,21544950040150,21544952041296,2041.296,2000.344,0
1470,21544960000000,21544960064695,21544962066537,2066.537,2000.272,0
1471,21544970000000,21544970059704,21544972060986,2060.986,2000.472,0
1472,21544980000000,21544980059953,21544982061243,2061.243,2000.528,0
1473,21544990000000,21544990058601,21544992059651,2059.651,2000.344,0
1474,21545000000000,21545000279303,21545002281089,2281.089,2000.456,0
1475,21545010000000,21545010056946,21545012058428,2058.428,2000.432,0
1476,21545020000000,21545020059147,21545022060429,2060.429,2000.520,0
1477,21545030000000,21545030061284,21545032062806,2062.806,2000.504,0
1478,21545040000000,21545040061596,21545042063126,2063.126,2000.680,0
1479,21545050000000,21545050032428,21545052033742,2033.742,2000.592,0
1480,21545060000000,21545060058197,21545062059671,2059.671,2000.712,0
1481,21545070000000,21545070060686,21545072062232,2062.232,2000.744,0
1482,21545080000000,21545080060783,21545082062576,2062.576,2000.680,0
1483,21545090000000,21545090059447,21545092060817,2060.817,2000.472,0
1484,21545100000000,21545100009735,21545102010784,2010.784,2000.312,0
1485,21545110000000,21545110060441,21545112061490,2061.490,2000.376,0
1486,21545120000000,21545120060130,21545122061611,2061.611,2000.656,0
1487,21545130000000,21545130058738,21545132059884,2059.884,2000.304,0
1488,21545140000000,21545140024554,21545142026380,2026.380,2000.400,0
1489,21545150000000,21545150031419,21545152032612,2032.612,2000.304,0
1490,21545160000000,21545160060604,21545162061646,2061.646,2000.288,0
1491,21545170000000,21545170059789,21545172061087,2061.087,2000.520,0
1492,21545180000000,21545180059766,21545182061080,2061.080,2000.384,0
1493,21545190000000,21545190060254,21545192061408,2061.408,2000.448,0
1494,21545200000000,21545200019134,21545202020984,2020.984,2000.456,0
1495,21545210000000,21545210059416,21545212060937,2060.937,2000.504,0
1496,21545220000000,21545220044144,21545222046074,2046.074,2000.592,0
1497,21545230000000,21545230058921,21545232060507,2060.507,2000.392,0
1498,21545240000000,21545240024833,21545242026259,2026.259,2000.288,0
1499,21545250000000,21545250071923,21545252084341,2084.341,2000.464,0
