i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
1154,3424080000000,3424145700390,3424151496481,71496.481,5000.472,1
1155,3424100000000,3424156005236,3424165006634,65006.634,5000.560,1
1156,3424120000000,3424165578795,3424170593611,50593.611,5000.320,1
1157,3424140000000,3424170629736,3424175683102,35683.102,5000.344,1
1158,3424160000000,3424175708852,3424180736219,20736.219,5000.360,1
1159,3424180000000,3424180749075,3424185787873,5787.873,5000.272,0
1160,3424200000000,3424200025168,3424205047408,5047.408,5000.472,0
1161,3424220000000,3424220117590,3424232047452,12047.452,5000.376,0
1162,3424240000000,3424244025654,3424249061157,9061.157,5000.408,0
1163,3424260000000,3424263543739,3424268567331,8567.331,5000.496,0
1164,3424280000000,3424280043312,3424285066607,5066.607,5000.512,0
1165,3424300000000,3424300055267,3424309075096,9075.096,5000.496,0
1166,3424320000000,3424324016407,3424329035791,9035.791,5000.504,0
1167,3424340000000,3424340007950,3424349035243,9035.243,5000.480,0
1168,3424360000000,3424363403298,3424368404027,8404.027,5000.368,0
1169,3424380000000,3424380861420,3424385867557,5867.557,5000.432,0
1170,3424400000000,3424404008561,3424421049296,21049.296,5000.392,1
1171,3424420000000,3424421065950,3424426160729,6160.729,5000.424,0
1172,3424440000000,3424440025066,3424450504467,10504.467,5000.440,0
1173,3424460000000,3424460026918,3424465079916,5079.916,5000.320,0
1174,3424480000000,3424480078343,3424485128045,5128.045,5000.512,0
1175,3424500000000,3424501318366,3424510345579,10345.579,5000.312,0
1176,3424520000000,3424520029899,3424525030540,5030.540,5000.464,0
1177,3424540000000,3424540041590,3424545063070,5063.070,5000.296,0
1178,3424560000000,3424560005365,3424565038275,5038.275,5000.520,0
1179,3424580000000,3424580057429,3424585179774,5179.774,5000.312,0
1180,3424600000000,3424608035382,3424613036143,13036.143,5000.408,0
1181,3424620000000,3424628034626,3424637101901,17101.901,5000.464,0
1182,3424640000000,3424640005693,3424646980935,6980.935,5000.528,0
1183,3424660000000,3424660233674,3424665244866,5244.866,5000.456,0
1184,3424680000000,3424680020381,3424685151749,5151.749,5000.464,0
1185,3424700000000,3424708084264,3424724194623,24194.623,5000.344,1
1186,3424720000000,3424728010225,3424737107961,17107.961,5000.376,0
1187,3424740000000,3424740038008,3424756135120,16135.120,5000.360,0
1188,3424760000000,3424760042292,3424765042941,5042.941,5000.416,0
1189,3424780000000,3424780060079,3424785193559,5193.559,5000.352,0
1190,3424800000000,3424808021401,3424821032964,21032.964,5000.480,1
1191,3424820000000,3424828004014,3424841111459,21111.459,5000.440,1
1192,3424840000000,3424844004629,3424849026340,9026.340,5000.504,0
1193,3424860000000,3424860006507,3424869026560,9026.560,5000.384,0
1194,3424880000000,3424880063995,3424885064540,5064.540,5000.496,0
1195,3424900000000,3424916005690,3424926879440,26879.440,5000.504,1
1196,3424920000000,3424933591724,3424938665392,18665.392,5000.720,0
1197,3424940000000,3424940007052,3424958978103,18978.103,5000.400,0
1198,3424960000000,3424960004976,3424974421292,14421.292,5000.296,0
1199,3424980000000,3424980069552,3424985096559,5096.559,5000.384,0
1200,3425000000000,3425008044273,3425017758551,17758.551,5000.472,0
1201,3425020000000,3425020006805,3425029297743,9297.743,5000.296,0
1202,3425040000000,3425040043606,3425045154400,5154.400,5000.272,0
1203,3425060000000,3425064019730,3425069041289,9041.289,5000.496,0
1204,3425080000000,3425080060078,3425085085485,5085.485,5000.384,0
1205,3425100000000,3425120031648,3425132125874,32125.874,5000.368,1
1206,3425120000000,3425136011232,3425141077172,21077.172,5000.416,1
1207,3425140000000,3425144004987,3425161081872,21081.872,5000.424,1
1208,3425160000000,3425161096127,3425166096656,6096.656,5000.488,0
1209,3425180000000,3425180036172,3425185057691,5057.691,5000.472,0
1210,3425200000000,3425220017077,3425229024892,29024.892,5000.784,1
1211,3425220000000,3425232005319,3425241011221,21011.221,5000.320,1
1212,3425240000000,3425244018959,3425254125490,14125.490,5000.496,0
1213,3425260000000,3425264013147,3425269013885,9013.885,5000.416,0
1214,3425280000000,3425280060031,3425285076495,5076.495,5000.440,0
1215,3425300000000,3425304020612,3425317020960,17020.960,5000.448,0
1216,3425320000000,3425324008640,3425337015788,17015.788,5000.456,0
1217,3425340000000,3425340006255,3425350995430,10995.430,5000.424,0
1218,3425360000000,3425360012563,3425365564334,5564.334,5000.528,0
1219,3425380000000,3425380060436,3425385061157,5061.157,5000.312,0
1220,3425400000000,3425404083260,3425417091040,17091.040,5000.432,0
1221,3425420000000,3425420005336,3425437014385,17014.385,5000.352,0
1222,3425440000000,3425440005908,3425449004291,9004.291,5000.464,0
1223,3425460000000,3425463341420,3425468342205,8342.205,5000.448,0
1224,3425480000000,3425480102534,3425485111822,5111.822,5000.464,0
1225,3425500000000,3425501063672,3425516605214,16605.214,5000.376,0
1226,3425520000000,3425524006395,3425537007743,17007.743,5000.320,0
1227,3425540000000,3425544012359,3425549013056,9013.056,5000.408,0
1228,3425560000000,3425560007629,3425565007966,5007.966,5000.304,0
1229,3425580000000,3425580058230,3425585059783,5059.783,5000.472,0
1230,3425600000000,3425604015243,3425617042997,17042.997,5000.312,0
1231,3425620000000,3425623582925,3425636597864,16597.864,5000.512,0
1232,3425640000000,3425644050865,3425653072350,13072.350,5000.280,0
1233,3425660000000,3425660029825,3425665834738,5834.738,5000.488,0
1234,3425680000000,3425680068058,3425694564768,14564.768,5000.432,0
1235,3425700000000,3425720028285,3425738984049,38984.049,5000.344,1
1236,3425720000000,3425738993081,3425754663862,34663.862,5000.296,1
1237,3425740000000,3425754859336,3425771944420,31944.420,5000.336,1
1238,3425760000000,3425776440184,3425785456869,25456.869,5000.320,1
1239,3425780000000,3425787307534,3425792992608,12992.608,5000.760,0
1240,3425800000000,3425820010060,3425826158118,26158.118,5000.488,1
1241,3425820000000,3425828010319,3425837042899,17042.899,5000.432,0
1242,3425840000000,3425840008096,3425849019662,9019.662,5000.288,0
1243,3425860000000,3425860704540,3425869969880,9969.880,5000.312,0
1244,3425880000000,3425884022253,3425889050932,9050.932,5000.512,0
1245,3425900000000,3425912009869,3425921327478,21327.478,5000.312,1
1246,3425920000000,3425929317538,3425939546572,19546.572,5000.352,0
1247,3425940000000,3425940024220,3425946791235,6791.235,5000.696,0
1248,3425960000000,3425964007399,3425971418818,11418.818,5000.448,0
1249,3425980000000,3425980018565,3425990320786,10320.786,5000.272,0
1250,3426000000000,3426016148022,3426025171739,25171.739,5000.376,1
1251,3426020000000,3426032053387,3426041413457,21413.457,5000.400,1
1252,3426040000000,3426044381158,3426053388252,13388.252,5000.376,0
1253,3426060000000,3426072042324,3426090911294,30911.294,5000.368,1
1254,3426080000000,3426093782257,3426098932552,18932.552,5000.424,0
1255,3426100000000,3426112005863,3426126880483,26880.483,5000.504,1
1256,3426120000000,3426128036220,3426153550062,33550.062,5000.288,1
1257,3426140000000,3426156012708,3426173040037,33040.037,5000.384,1
1258,3426160000000,3426176004049,3426184810453,24810.453,5000.408,1
1259,3426180000000,3426188020209,3426196151148,16151.148,5000.272,0
1260,3426200000000,3426200009403,3426207422422,7422.422,5000.480,0
1261,3426220000000,3426224006677,3426233011179,13011.179,5000.320,0
1262,3426240000000,3426244028255,3426249041392,9041.392,5000.464,0
1263,3426260000000,3426262943286,3426267944031,7944.031,5000.424,0
1264,3426280000000,3426280006427,3426285024052,5024.052,5000.424,0
1265,3426300000000,3426301670118,3426310666316,10666.316,5000.440,0
1266,3426320000000,3426324017833,3426329035681,9035.681,5000.472,0
1267,3426340000000,3426344007102,3426349008031,9008.031,5000.664,0
1268,3426360000000,3426360006700,3426365007189,5007.189,5000.496,0
1269,3426380000000,3426380062645,3426385063510,5063.510,5000.576,0
1270,3426400000000,3426404012738,3426417033709,17033.709,5000.608,0
1271,3426420000000,3426420005537,3426436797329,16797.329,5000.512,0
1272,3426440000000,3426440005349,3426449007052,9007.052,5000.280,0
1273,3426460000000,3426460006753,3426465064998,5064.998,5000.424,0
