i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
209,3411450000000,3411476372702,3411496739662,46739.662,15000.320,0
210,3411500000000,3411516118226,3411557133039,57133.039,15000.408,1
211,3411550000000,3411557141014,3411589305664,39305.664,15000.488,0
212,3411600000000,3411613044954,3411653084010,53084.010,15000.344,1
213,3411650000000,3411653093225,3411675152326,25152.326,15000.352,0
214,3411700000000,3411713034265,3411748051168,48051.168,15000.504,0
215,3411750000000,3411753068937,3411775925399,25925.399,15000.480,0
216,3411800000000,3411813020088,3411849042547,49042.547,15000.312,0
217,3411850000000,3411852007176,3411875163802,25163.802,15000.712,0
218,3411900000000,3411909421269,3411958298113,58298.113,15000.400,1
219,3411950000000,3411960883752,3412026112958,76112.958,15000.608,1
220,3412000000000,3412032006468,3412093259434,93259.434,15000.312,1
221,3412050000000,3412096023045,3412134563068,84563.068,15000.272,1
222,3412100000000,3412140021135,3412163069648,63069.648,15000.320,1
223,3412150000000,3412172009621,3412205965716,55965.716,15000.280,1
224,3412200000000,3412208016776,3412247093482,47093.482,15000.424,0
225,3412250000000,3412250082390,3412278499728,28499.728,15000.456,0
226,3412300000000,3412300034560,3412338228286,38228.286,15000.360,0
227,3412350000000,3412352027783,3412375551184,25551.184,15000.496,0
228,3412400000000,3412400035534,3412437725455,37725.455,15000.408,0
229,3412450000000,3412452049972,3412477865696,27865.696,15000.392,0
230,3412500000000,3412500205601,3412542691554,42691.554,15000.392,0
231,3412550000000,3412552621908,3412570943808,20943.808,15000.424,0
232,3412600000000,3412602994137,3412647070125,47070.125,15000.280,0
233,3412650000000,3412652028643,3412675072548,25072.548,15000.376,0
234,3412700000000,3412700043017,3412724968914,24968.914,15000.416,0
235,3412750000000,3412752006106,3412767766517,17766.517,15000.472,0
236,3412800000000,3412808016031,3412847116575,47116.575,15000.408,0
237,3412850000000,3412850009657,3412874030631,24030.631,15000.464,0
238,3412900000000,3412903829971,3412935888500,35888.500,15000.328,0
239,3412950000000,3412950010271,3412976571384,26571.384,15000.416,0
240,3413000000000,3413006004221,3413045511625,45511.625,15000.368,0
241,3413050000000,3413052024500,3413069807045,19807.045,15000.288,0
242,3413100000000,3413100039731,3413144836782,44836.782,15000.360,0
243,3413150000000,3413156006875,3413176261402,26261.402,15000.456,0
244,3413200000000,3413220053146,3413243104898,43104.898,15000.320,0
245,3413250000000,3413252062678,3413267641534,17641.534,15000.280,0
246,3413300000000,3413300017282,3413342835923,42835.923,15000.448,0
247,3413350000000,3413350008953,3413374017041,24017.041,15000.456,0
248,3413400000000,3413400043166,3413424191732,24191.732,15000.488,0
249,3413450000000,3413452021670,3413473814789,23814.789,15000.728,0
250,3413500000000,3413500067395,3413524331193,24331.193,15000.400,0
251,3413550000000,3413552006142,3413579417108,29417.108,15000.336,0
252,3413600000000,3413605055805,3413644100584,44100.584,15000.440,0
253,3413650000000,3413652022619,3413675367912,25367.912,15000.488,0
254,3413700000000,3413700042522,3413724088446,24088.446,15000.432,0
255,3413750000000,3413750012779,3413775846637,25846.637,15000.288,0
256,3413800000000,3413810351672,3413851050226,51050.226,15000.480,1
257,3413850000000,3413852003305,3413875611996,25611.996,15000.448,0
258,3413900000000,3413910855875,3413952899839,52899.839,15000.296,1
259,3413950000000,3413956010784,3414015552633,65552.633,15000.528,1
260,3414000000000,3414023701389,3414117227884,117227.884,15000.440,1
261,3414050000000,3414123614529,3414150226277,100226.277,15000.512,1
262,3414100000000,3414151263605,3414171400609,71400.609,15000.472,1
263,3414150000000,3414171433815,3414191596850,41596.850,15000.512,0
264,3414200000000,3414204017229,3414244386200,44386.200,15000.448,0
265,3414250000000,3414250100196,3414273526452,23526.452,15000.440,0
266,3414300000000,3414300041759,3414341918193,41918.193,15000.296,0
267,3414350000000,3414350008784,3414385233647,35233.647,15000.296,0
268,3414400000000,3414408032283,3414434502289,34502.289,15000.352,0
269,3414450000000,3414450728124,3414474867787,24867.787,15000.528,0
270,3414500000000,3414500102903,3414529919516,29919.516,15000.328,0
271,3414550000000,3414553373291,3414577174674,27174.674,15000.760,0
272,3414600000000,3414600046937,3414634658026,34658.026,15000.472,0
273,3414650000000,3414652004632,3414675273628,25273.628,15000.304,0
274,3414700000000,3414700048167,3414736554397,36554.397,15000.624,0
