round,round_time,scale,U,n,median_C,cv,miss_rate
round3,2026-08-04 12:19:24.963984,soft,0.8,5000,57153.087,0.004371199879897635,0.0
round3,2026-08-04 12:19:24.963984,soft,0.9,5000,64129.185,0.005097520147928478,0.0
round3,2026-08-04 12:19:24.963984,soft,0.94,5000,68194.9515,0.03169551743209222,0.0034
round3,2026-08-04 12:19:24.963984,tight,0.1,5000,744.5545,0.021326843450903014,0.0002
round3,2026-08-04 12:19:24.963984,tight,0.2,5000,1498.62,0.014391072757134474,0.0004
round3,2026-08-04 12:19:24.963984,tight,0.3,5000,2261.401,0.07089951088418216,0.0124
round3,2026-08-04 12:19:24.963984,tight,0.4,5000,2865.3500000000004,0.016300535281338,0.0
round3,2026-08-04 12:19:24.963984,tight,0.5,5000,3654.6994999999997,0.01184238801402756,0.0002
round3,2026-08-04 12:19:24.963984,tight,0.6,5000,4432.9884999999995,0.014083549600241522,0.0
round3,2026-08-04 12:19:24.963984,tight,0.7,5000,5249.0175,0.013899776731484771,0.0
round3,2026-08-04 12:19:24.963984,tight,0.8,5000,5998.615,0.013282456224649238,0.0002
round3,2026-08-04 12:19:24.963984,tight,0.9,5000,6530.938,0.013246521832010801,0.0002
round3,2026-08-04 12:19:24.963984,tight,0.94,5000,6842.8305,0.010901389737727224,0.0
round4,2026-08-04 12:19:25.110613,soft,0.1,5000,7225.115,0.012340484694117844,0.0
round4,2026-08-04 12:19:25.110613,soft,0.2,5000,14299.5625,0.010191293206488174,0.0
round4,2026-08-04 12:19:25.110613,soft,0.3,5000,21910.3115,0.02431623082332905,0.0004
round4,2026-08-04 12:19:25.110613,soft,0.4,5000,28487.377500000002,0.0075839738880047435,0.0
round4,2026-08-04 12:19:25.110613,soft,0.5,5000,35753.318,0.005659797539446347,0.0
round4,2026-08-04 12:19:25.110613,soft,0.6,5000,43592.0795,0.03294916449142242,0.0034
round4,2026-08-04 12:19:25.110613,soft,0.7,5000,51219.001000000004,0.0037014185325925934,0.0
round4,2026-08-04 12:19:25.110613,soft,0.8,5000,57320.133,0.0024360169330912536,0.0
round4,2026-08-04 12:19:25.110613,soft,0.9,5000,64243.156,0.002746148320240996,0.0
round4,2026-08-04 12:19:25.110613,soft,0.94,5000,67252.589,0.002589794225972397,0.0
round4,2026-08-04 12:19:25.110613,tight,0.1,5000,755.4135,0.01771871602602827,0.0002
round4,2026-08-04 12:19:25.110613,tight,0.2,5000,1504.839,0.015106940868679948,0.0
round4,2026-08-04 12:19:25.110613,tight,0.3,5000,2258.248,0.009408855333187468,0.0002
round4,2026-08-04 12:19:25.110613,tight,0.4,5000,2880.049,0.012695773558700319,0.0
round4,2026-08-04 12:19:25.110613,tight,0.5,5000,3670.8695,0.011589611080350544,0.0004
round4,2026-08-04 12:19:25.110613,tight,0.6,5000,4557.927,0.04959722398663672,0.0066
round4,2026-08-04 12:19:25.110613,tight,0.7,5000,5285.9535,0.010102626720777127,0.0002
round4,2026-08-04 12:19:25.110613,tight,0.8,5000,6127.897999999999,0.05052110022775051,0.0064
round4,2026-08-04 12:19:25.110613,tight,0.9,5000,6578.957,0.007498527860267892,0.0
round4,2026-08-04 12:19:25.110613,tight,0.94,5000,6877.5095,0.00936918276148686,0.0
